ds,yhat,yhat_lower,yhat_upper,y,type
2014-04-21,73.73748946571098,-52.66304113651031,197.98958015858307,96.0,historical
2014-04-22,74.05881884514525,-52.00151570917323,202.11294379562116,0.0,historical
2014-04-23,100.50795179984652,-31.255055613915808,236.66404619423173,37.0,historical
2014-04-24,86.79215820256408,-40.53309728639034,212.24286996136726,30.0,historical
2014-04-25,99.94119211632743,-30.978897302548024,232.91406443483473,38.0,historical
2014-04-26,152.1877155949948,23.47341841592319,281.43095367000865,88.0,historical
2014-04-27,106.95067534564963,-21.428348075362873,232.56126013292973,64.0,historical
2014-04-28,78.25433044185525,-45.69148438386641,205.9268785698149,13.0,historical
2014-04-29,74.67798404642949,-53.24254526590171,199.51012118863386,20.0,historical
2014-04-30,97.13720957560508,-33.99755461654829,216.26601132795057,31.0,historical
2014-05-01,79.42599609489258,-50.84181630348247,203.2938422148016,129.0,historical
2014-05-02,88.66170684705376,-46.192762648983795,218.4833172712159,94.0,historical
2014-05-03,137.16361040210808,11.67126910317737,273.12485383742006,129.0,historical
2014-05-04,88.43437607951428,-40.75324439101011,214.28647195584242,126.0,historical
2014-05-05,56.57727300195553,-81.26088764698618,181.75680298965094,70.0,historical
2014-05-06,50.244166073447715,-81.49196874160334,178.11095035113868,48.0,historical
2014-05-07,70.41513842755349,-60.49417736350756,203.65844384531854,123.0,historical
2014-05-08,50.939198448148574,-93.2636192659667,184.49440880930595,87.0,historical
2014-05-09,58.97800307102185,-66.81111724129937,182.0353074873306,65.0,historical
2014-05-10,106.88337985065567,-22.45793960883143,227.64536245916582,102.0,historical
2014-05-11,58.1780654918711,-73.3279089594604,185.8578406144301,78.0,historical
2014-05-12,26.972417619666828,-103.2862491902932,156.01689812660342,49.0,historical
2014-05-13,21.91220509512459,-97.13933309341067,150.91601245533755,0.0,historical
2014-05-14,43.95831167925345,-80.9444213480759,171.5221905357154,68.0,historical
2014-05-15,26.927813147388896,-101.7786224048376,153.54527310302552,102.0,historical
2014-05-16,37.93834715866347,-92.82357092294156,164.72698877648952,88.0,historical
2014-05-17,89.28655020006629,-34.888096243552155,212.32089740465685,170.0,historical
2014-05-18,44.42995710774666,-82.96471732338009,177.40299797280704,152.0,historical
2014-05-19,17.40509522489809,-112.81127046615029,137.90873023096307,90.0,historical
